Box Size,Box Length cm,Speed Demand,Accuracy
1,0.95,0.5,0.125
1,0.95,0.5,0.25
1,0.95,0.5,0.125
1,0.95,0.5,0.75
1,0.95,0.5,0.125
1,0.95,0.5,0
1,0.95,0.5,0
1,0.95,0.5,0.125
1,0.95,0.5,0.125
1,0.95,0.5,0.125
1,0.95,0.5,0.125
1,0.95,0.5,0.125
1,0.95,0.5,0.125
1,0.95,0.5,0.875
1,0.95,0.5,0.125
1,0.95,0.5,0.625
1,0.95,0.5,1
1,0.95,0.5,0.75
1,0.95,0.5,0.625
1,0.95,0.5,0
1,0.95,0.6,0.818181818
1,0.95,0.6,0.727272727
1,0.95,0.6,0.727272727
1,0.95,0.6,0.727272727
1,0.95,0.6,0.636363636
1,0.95,0.6,0.909090909
1,0.95,0.6,0.181818182
1,0.95,0.6,0.181818182
1,0.95,0.6,0.363636364
1,0.95,0.6,0.090909091
1,0.95,0.6,0
1,0.95,0.6,0
1,0.95,0.6,0.363636364
1,0.95,0.6,0
1,0.95,0.6,0.818181818
1,0.95,0.6,0.363636364
1,0.95,0.6,0.181818182
1,0.95,0.6,0.818181818
1,0.95,0.6,0
1,0.95,0.6,0.363636364
1,0.95,0.7,0.538461538
1,0.95,0.7,0.846153846
1,0.95,0.7,0.692307692
1,0.95,0.7,0
1,0.95,0.7,0.307692308
1,0.95,0.7,0.538461538
1,0.95,0.7,0
1,0.95,0.7,0.692307692
1,0.95,0.7,0.153846154
1,0.95,0.7,0.769230769
1,0.95,0.7,0.692307692
1,0.95,0.7,0.230769231
1,0.95,0.7,0.846153846
1,0.95,0.7,1
1,0.95,0.7,0.769230769
1,0.95,0.7,0.846153846
1,0.95,0.7,0.846153846
1,0.95,0.7,0.769230769
1,0.95,0.7,0.384615385
1,0.95,0.7,0.307692308
1,0.95,0.8,0.375
1,0.95,0.8,0.125
1,0.95,0.8,0.1875
1,0.95,0.8,0.4375
1,0.95,0.8,0.125
1,0.95,0.8,0.3125
1,0.95,0.8,0.0625
1,0.95,0.8,0.25
1,0.95,0.8,0
1,0.95,0.8,0.0625
1,0.95,0.8,0.25
1,0.95,0.8,0
1,0.95,0.8,0.625
1,0.95,0.8,0
1,0.95,0.8,0.3125
1,0.95,0.8,0.1875
1,0.95,0.8,0.125
1,0.95,0.8,0.3125
1,0.95,0.8,0.0625
1,0.95,0.8,0.1875
1,0.95,0.9,0.333333333
1,0.95,0.9,0.444444444
1,0.95,0.9,0.111111111
1,0.95,0.9,0.444444444
1,0.95,0.9,0.555555556
1,0.95,0.9,0.666666667
1,0.95,0.9,0.166666667
1,0.95,0.9,0.611111111
1,0.95,0.9,0.388888889
1,0.95,0.9,0.388888889
1,0.95,0.9,0.166666667
1,0.95,0.9,0.5
1,0.95,0.9,0.055555556
1,0.95,0.9,0.5
1,0.95,0.9,0.055555556
1,0.95,0.9,0.666666667
1,0.95,0.9,0.611111111
1,0.95,0.9,0.777777778
1,0.95,0.9,0.5
1,0.95,0.9,0.333333333
1,0.95,1,0.05
1,0.95,1,0.05
1,0.95,1,0.15
1,0.95,1,0.45
1,0.95,1,0
1,0.95,1,0.4
1,0.95,1,0
1,0.95,1,0.25
1,0.95,1,0.15
1,0.95,1,0
1,0.95,1,0
1,0.95,1,0.1
1,0.95,1,0.35
1,0.95,1,0.2
1,0.95,1,0
1,0.95,1,0.1
1,0.95,1,0.5
1,0.95,1,0.1
1,0.95,1,0.15
1,0.95,1,0.05
1,0.95,1.1,0.304347826
1,0.95,1.1,0.304347826
1,0.95,1.1,0.217391304
1,0.95,1.1,0.347826087
1,0.95,1.1,0.434782609
1,0.95,1.1,0.391304348
1,0.95,1.1,0
1,0.95,1.1,0.391304348
1,0.95,1.1,0.217391304
1,0.95,1.1,0.304347826
1,0.95,1.1,0.304347826
1,0.95,1.1,0.47826087
1,0.95,1.1,0.217391304
1,0.95,1.1,0.391304348
1,0.95,1.1,0.434782609
1,0.95,1.1,0.217391304
1,0.95,1.1,0.173913043
1,0.95,1.1,0.391304348
1,0.95,1.1,0.347826087
1,0.95,1.1,0.043478261
1,0.95,1.2,0.291666667
1,0.95,1.2,0.291666667
1,0.95,1.2,0
1,0.95,1.2,0
1,0.95,1.2,0.083333333
1,0.95,1.2,0
1,0.95,1.2,0.125
1,0.95,1.2,0
1,0.95,1.2,0
1,0.95,1.2,0.041666667
1,0.95,1.2,0.291666667
1,0.95,1.2,0.083333333
1,0.95,1.2,0.25
1,0.95,1.2,0.083333333
1,0.95,1.2,0.125
1,0.95,1.2,0.25
1,0.95,1.2,0.208333333
1,0.95,1.2,0.083333333
1,0.95,1.2,0.291666667
1,0.95,1.2,0
1,0.95,1.3,0.107142857
1,0.95,1.3,0.142857143
1,0.95,1.3,0.178571429
1,0.95,1.3,0.214285714
1,0.95,1.3,0
1,0.95,1.3,0
1,0.95,1.3,0.142857143
1,0.95,1.3,0.178571429
1,0.95,1.3,0.071428571
1,0.95,1.3,0.214285714
1,0.95,1.3,0.142857143
1,0.95,1.3,0.107142857
1,0.95,1.3,0.285714286
1,0.95,1.3,0.214285714
1,0.95,1.3,0.071428571
1,0.95,1.3,0.071428571
1,0.95,1.3,0
1,0.95,1.3,0.142857143
1,0.95,1.3,0.178571429
1,0.95,1.3,0.107142857
2,1.9,0.5,1.000
2,1.9,0.5,1.000
2,1.9,0.5,1.000
2,1.9,0.5,1.000
2,1.9,0.5,0.250
2,1.9,0.5,0.500
2,1.9,0.5,1.000
2,1.9,0.5,0.750
2,1.9,0.5,0.750
2,1.9,0.5,0.750
2,1.9,0.5,0.000
2,1.9,0.5,0.500
2,1.9,0.5,0.250
2,1.9,0.5,1.000
2,1.9,0.5,1.000
2,1.9,0.5,0.500
2,1.9,0.5,1.000
2,1.9,0.5,1.000
2,1.9,0.5,1.000
2,1.9,0.5,1.000
2,1.9,0.6,0.800
2,1.9,0.6,1.000
2,1.9,0.6,1.000
2,1.9,0.6,1.000
2,1.9,0.6,1.000
2,1.9,0.6,1.000
2,1.9,0.6,0.200
2,1.9,0.6,1.000
2,1.9,0.6,0.200
2,1.9,0.6,0.600
2,1.9,0.6,1.000
2,1.9,0.6,1.000
2,1.9,0.6,1.000
2,1.9,0.6,1.000
2,1.9,0.6,0.400
2,1.9,0.6,1.000
2,1.9,0.6,0.600
2,1.9,0.6,1.000
2,1.9,0.6,0.200
2,1.9,0.6,1.000
2,1.9,0.7,0.833
2,1.9,0.7,0.000
2,1.9,0.7,0.500
2,1.9,0.7,0.333
2,1.9,0.7,0.333
2,1.9,0.7,0.000
2,1.9,0.7,0.500
2,1.9,0.7,0.833
2,1.9,0.7,0.667
2,1.9,0.7,0.833
2,1.9,0.7,0.500
2,1.9,0.7,0.667
2,1.9,0.7,0.667
2,1.9,0.7,0.000
2,1.9,0.7,0.000
2,1.9,0.7,0.667
2,1.9,0.7,0.333
2,1.9,0.7,0.500
2,1.9,0.7,0.833
2,1.9,0.7,0.667
2,1.9,0.8,0.875
2,1.9,0.8,0.250
2,1.9,0.8,0.750
2,1.9,0.8,0.500
2,1.9,0.8,0.500
2,1.9,0.8,0.625
2,1.9,0.8,0.625
2,1.9,0.8,0.875
2,1.9,0.8,0.750
2,1.9,0.8,0.750
2,1.9,0.8,0.875
2,1.9,0.8,0.875
2,1.9,0.8,0.750
2,1.9,0.8,0.375
2,1.9,0.8,0.750
2,1.9,0.8,0.625
2,1.9,0.8,0.250
2,1.9,0.8,0.750
2,1.9,0.8,0.875
2,1.9,0.8,0.750
2,1.9,0.9,0.777777778
2,1.9,0.9,0.666666667
2,1.9,0.9,0.777777778
2,1.9,0.9,0.444444444
2,1.9,0.9,0.888888889
2,1.9,0.9,0.777777778
2,1.9,0.9,0
2,1.9,0.9,0.666666667
2,1.9,0.9,0.666666667
2,1.9,0.9,0.888888889
2,1.9,0.9,0.333333333
2,1.9,0.9,0.888888889
2,1.9,0.9,0.888888889
2,1.9,0.9,0.222222222
2,1.9,0.9,0.888888889
2,1.9,0.9,0.666666667
2,1.9,0.9,0.777777778
2,1.9,0.9,0.888888889
2,1.9,0.9,0.333333333
2,1.9,0.9,0.888888889
2,1.9,1,0.8
2,1.9,1,0.8
2,1.9,1,0.8
2,1.9,1,0.6
2,1.9,1,0.4
2,1.9,1,0.6
2,1.9,1,0.8
2,1.9,1,0.9
2,1.9,1,0.4
2,1.9,1,0.5
2,1.9,1,0.6
2,1.9,1,0.5
2,1.9,1,0.4
2,1.9,1,0.7
2,1.9,1,0.9
2,1.9,1,0.4
2,1.9,1,0.5
2,1.9,1,0.6
2,1.9,1,0.5
2,1.9,1,0.9
2,1.9,1.1,0.090909091
2,1.9,1.1,0.090909091
2,1.9,1.1,0
2,1.9,1.1,0.454545455
2,1.9,1.1,0.727272727
2,1.9,1.1,0.363636364
2,1.9,1.1,0.818181818
2,1.9,1.1,0
2,1.9,1.1,0
2,1.9,1.1,0.818181818
2,1.9,1.1,0.181818182
2,1.9,1.1,0.818181818
2,1.9,1.1,0.181818182
2,1.9,1.1,0
2,1.9,1.1,0.818181818
2,1.9,1.1,0.454545455
2,1.9,1.1,0
2,1.9,1.1,0
2,1.9,1.1,0.818181818
2,1.9,1.1,0
2,1.9,1.2,0.333333333
2,1.9,1.2,0.5
2,1.9,1.2,0.083333333
2,1.9,1.2,0.75
2,1.9,1.2,0.166666667
2,1.9,1.2,0.833333333
2,1.9,1.2,0.5
2,1.9,1.2,0.416666667
2,1.9,1.2,0.333333333
2,1.9,1.2,0.666666667
2,1.9,1.2,0.666666667
2,1.9,1.2,0.583333333
2,1.9,1.2,0.75
2,1.9,1.2,0.416666667
2,1.9,1.2,0.833333333
2,1.9,1.2,0.416666667
2,1.9,1.2,0.583333333
2,1.9,1.2,0.25
2,1.9,1.2,0.75
2,1.9,1.2,0.833333333
2,1.9,1.3,0.153846154
2,1.9,1.3,0.230769231
2,1.9,1.3,0.384615385
2,1.9,1.3,0.307692308
2,1.9,1.3,0.769230769
2,1.9,1.3,0.692307692
2,1.9,1.3,0.769230769
2,1.9,1.3,0.615384615
2,1.9,1.3,0.230769231
2,1.9,1.3,0.769230769
2,1.9,1.3,0.769230769
2,1.9,1.3,0.615384615
2,1.9,1.3,0.538461538
2,1.9,1.3,0.538461538
2,1.9,1.3,0.769230769
2,1.9,1.3,0.769230769
2,1.9,1.3,0.384615385
2,1.9,1.3,0.153846154
2,1.9,1.3,0.230769231
2,1.9,1.3,0.384615385
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.5,0.333333333
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.5,0
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.5,0.333333333
3,2.85,0.5,0.333333333
3,2.85,0.5,0.666666667
3,2.85,0.5,0.666666667
3,2.85,0.5,0.333333333
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.5,1
3,2.85,0.6,1.000
3,2.85,0.6,1.000
3,2.85,0.6,0.000
3,2.85,0.6,1.000
3,2.85,0.6,1.000
3,2.85,0.6,0.000
3,2.85,0.6,0.333
3,2.85,0.6,1.000
3,2.85,0.6,1.000
3,2.85,0.6,0.000
3,2.85,0.6,1.000
3,2.85,0.6,1.000
3,2.85,0.6,0.333
3,2.85,0.6,1.000
3,2.85,0.6,1.000
3,2.85,0.6,1.000
3,2.85,0.6,0.333
3,2.85,0.6,0.333
3,2.85,0.6,1.000
3,2.85,0.6,0.333
3,2.85,0.7,0.750
3,2.85,0.7,0.750
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,0.750
3,2.85,0.7,0.750
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,0.750
3,2.85,0.7,1.000
3,2.85,0.7,0.250
3,2.85,0.7,0.750
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.8,0.8
3,2.85,0.8,1
3,2.85,0.8,0.8
3,2.85,0.8,0.8
3,2.85,0.8,0.8
3,2.85,0.8,0.6
3,2.85,0.8,1
3,2.85,0.8,1
3,2.85,0.8,1.2
3,2.85,0.8,0.8
3,2.85,0.8,1
3,2.85,0.8,1
3,2.85,0.8,0
3,2.85,0.8,0.8
3,2.85,0.8,1.2
3,2.85,0.8,1
3,2.85,0.8,0.4
3,2.85,0.8,0.8
3,2.85,0.8,1.2
3,2.85,0.8,1.2
3,2.85,0.9,0.833333333
3,2.85,0.9,0.5
3,2.85,0.9,0.833333333
3,2.85,0.9,0.833333333
3,2.85,0.9,1
3,2.85,0.9,0.833333333
3,2.85,0.9,0.5
3,2.85,0.9,0.166666667
3,2.85,0.9,0.833333333
3,2.85,0.9,0.333333333
3,2.85,0.9,0.166666667
3,2.85,0.9,0.5
3,2.85,0.9,0.833333333
3,2.85,0.9,0.5
3,2.85,0.9,0.333333333
3,2.85,0.9,0.5
3,2.85,0.9,0.5
3,2.85,0.9,0.833333333
3,2.85,0.9,0.833333333
3,2.85,0.9,0.5
3,2.85,1,0.333
3,2.85,1,0.667
3,2.85,1,0.000
3,2.85,1,0.500
3,2.85,1,0.167
3,2.85,1,0.500
3,2.85,1,0.667
3,2.85,1,1.000
3,2.85,1,1.000
3,2.85,1,0.667
3,2.85,1,0.833
3,2.85,1,1.000
3,2.85,1,1.000
3,2.85,1,0.667
3,2.85,1,0.167
3,2.85,1,0.500
3,2.85,1,0.833
3,2.85,1,0.500
3,2.85,1,0.167
3,2.85,1,0.500
3,2.85,1.1,0.857142857
3,2.85,1.1,0
3,2.85,1.1,0.142857143
3,2.85,1.1,0.285714286
3,2.85,1.1,0.285714286
3,2.85,1.1,0.571428571
3,2.85,1.1,0.857142857
3,2.85,1.1,0.714285714
3,2.85,1.1,0.285714286
3,2.85,1.1,0.857142857
3,2.85,1.1,0.714285714
3,2.85,1.1,0.857142857
3,2.85,1.1,0
3,2.85,1.1,0.571428571
3,2.85,1.1,0.142857143
3,2.85,1.1,0.857142857
3,2.85,1.1,0.857142857
3,2.85,1.1,0.571428571
3,2.85,1.1,0.142857143
3,2.85,1.1,0.857142857
3,2.85,1.2,0.571428571
3,2.85,1.2,1
3,2.85,1.2,0.142857143
3,2.85,1.2,0.571428571
3,2.85,1.2,0.857142857
3,2.85,1.2,0.571428571
3,2.85,1.2,1
3,2.85,1.2,0.857142857
3,2.85,1.2,1
3,2.85,1.2,1
3,2.85,1.2,0.571428571
3,2.85,1.2,0.285714286
3,2.85,1.2,1
3,2.85,1.2,1
3,2.85,1.2,1
3,2.85,1.2,0.428571429
3,2.85,1.2,0.428571429
3,2.85,1.2,0.142857143
3,2.85,1.2,0.428571429
3,2.85,1.2,0.857142857
3,2.85,1.3,0.875
3,2.85,1.3,0.5
3,2.85,1.3,0.75
3,2.85,1.3,0.5
3,2.85,1.3,0.125
3,2.85,1.3,0.375
3,2.85,1.3,0.125
3,2.85,1.3,0.875
3,2.85,1.3,0.625
3,2.85,1.3,0.75
3,2.85,1.3,0.375
3,2.85,1.3,0.375
3,2.85,1.3,0.25
3,2.85,1.3,0.25
3,2.85,1.3,0.25
3,2.85,1.3,0.875
3,2.85,1.3,0.875
3,2.85,1.3,0.125
3,2.85,1.3,0.5
3,2.85,1.3,0.75
